TotalTime,ReviewCount,Calories,SugarContent,ProteinContent,RecipeServings,Rating,predictionBasedOnText,predictionBasedOnImage,IngredientCount,InstructionCount
1460,2,536.1,32.1,29.3,2.0,5,5,5,14,15
1460,2,536.1,32.1,29.3,2.0,4,5,4,14,15
95,17,522.6,47.9,5.0,12.0,3,3,3,14,5
95,17,522.6,47.9,5.0,12.0,5,5,5,14,5
95,17,522.6,47.9,5.0,12.0,5,5,5,14,5
95,17,522.6,47.9,5.0,12.0,5,5,1,14,5
95,17,522.6,47.9,5.0,12.0,0,0,0,14,5
95,17,522.6,47.9,5.0,12.0,5,5,5,14,5
95,17,522.6,47.9,5.0,12.0,5,5,0,14,5
95,17,522.6,47.9,5.0,12.0,5,5,5,14,5
95,17,522.6,47.9,5.0,12.0,5,5,1,14,5
95,17,522.6,47.9,5.0,12.0,5,5,3,14,5
95,17,522.6,47.9,5.0,12.0,5,5,5,14,5
95,17,522.6,47.9,5.0,12.0,4,4,4,14,5
95,17,522.6,47.9,5.0,12.0,5,5,3,14,5
95,17,522.6,47.9,5.0,12.0,5,5,2,14,5
95,17,522.6,47.9,5.0,12.0,5,5,5,14,5
95,17,522.6,47.9,5.0,12.0,0,5,3,14,5
95,17,522.6,47.9,5.0,12.0,5,5,5,14,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,3,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,0,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,3,3,1,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,4,4,4,7,5
25,32,199.4,10.9,2.2,12.0,4,5,4,7,5
25,32,199.4,10.9,2.2,12.0,5,5,4,7,5
25,32,199.4,10.9,2.2,12.0,5,5,1,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,4,4,4,7,5
25,32,199.4,10.9,2.2,12.0,5,5,1,7,5
25,32,199.4,10.9,2.2,12.0,5,5,4,7,5
25,32,199.4,10.9,2.2,12.0,4,4,4,7,5
25,32,199.4,10.9,2.2,12.0,5,4,5,7,5
25,32,199.4,10.9,2.2,12.0,3,4,3,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,4,4,4,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,5,5,5,7,5
25,32,199.4,10.9,2.2,12.0,4,4,4,7,5
25,32,199.4,10.9,2.2,12.0,5,5,1,7,5
25,32,199.4,10.9,2.2,12.0,0,0,0,7,5
25,32,199.4,10.9,2.2,12.0,0,0,4,7,5
95,9,1635.7,0.3,32.9,4.0,5,5,1,11,12
95,9,1635.7,0.3,32.9,4.0,4,5,0,11,12
95,9,1635.7,0.3,32.9,4.0,5,5,5,11,12
95,9,1635.7,0.3,32.9,4.0,5,5,5,11,12
95,9,1635.7,0.3,32.9,4.0,5,5,5,11,12
95,9,1635.7,0.3,32.9,4.0,5,5,5,11,12
95,9,1635.7,0.3,32.9,4.0,5,5,5,11,12
95,9,1635.7,0.3,32.9,4.0,5,5,5,11,12
95,9,1635.7,0.3,32.9,4.0,5,5,5,11,12
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,3,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,4,4,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,1,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,1,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,4,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,3,3,3,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,2,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,1,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,4,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,4,9,5
85,166,501.2,40.9,6.3,10.0,4,4,4,9,5
85,166,501.2,40.9,6.3,10.0,4,4,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,2,9,5
85,166,501.2,40.9,6.3,10.0,4,4,0,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,4,5,9,5
85,166,501.2,40.9,6.3,10.0,2,2,2,9,5
85,166,501.2,40.9,6.3,10.0,4,4,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,1,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,4,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,1,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,1,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,4,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,3,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,4,4,1,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,3,3,3,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,4,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,2,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,3,3,3,9,5
85,166,501.2,40.9,6.3,10.0,0,5,0,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,4,5,4,9,5
85,166,501.2,40.9,6.3,10.0,5,5,0,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
85,166,501.2,40.9,6.3,10.0,5,5,5,9,5
